count 1521
260 portsweep 0.0000020192
260 satan 0.0000020138
261 neptune 0.0011092807
261 normal 0.0000020241
261 smurf 0.0000060729
262 neptune 0.0014129159
262 smurf 0.0000020243
263 neptune 0.0008886391
263 normal 0.0000121446
264 neptune 0.0014392310
264 normal 0.0000060723
264 smurf 0.0000020243
265 neptune 0.0008906633
265 normal 0.0000020241
265 portsweep 0.0000020192
265 smurf 0.0000060729
266 neptune 0.0013157527
266 normal 0.0000020241
266 smurf 0.0000060729
267 neptune 0.0008683968
267 normal 0.0000020241
267 smurf 0.0000020243
268 neptune 0.0012064440
269 neptune 0.0008764937
269 normal 0.0000020241
269 satan 0.0000040277
269 smurf 0.0000020243
27 neptune 0.0000708482
27 normal 0.0008278552
27 portsweep 0.0000020192
27 satan 0.0000060415
27 smurf 0.0000060729
27 teardrop 0.0000183861
270 neptune 0.0014655460
270 normal 0.0000020241
270 portsweep 0.0000020192
270 satan 0.0000020138
270 smurf 0.0000020243
271 neptune 0.0009190026
272 neptune 0.0012287106
272 normal 0.0000020241
273 neptune 0.0010202144
273 normal 0.0000080964
273 smurf 0.0000020243
274 neptune 0.0013683828
274 normal 0.0000060723
274 smurf 0.0000020243
275 neptune 0.0008663725
275 normal 0.0000020241
275 portsweep 0.0000020192
275 smurf 0.0000040486
276 neptune 0.0013198011
276 normal 0.0000020241
276 smurf 0.0000020243
277 neptune 0.0008036212
277 normal 0.0000040482
277 smurf 0.0000020243
278 neptune 0.0012428802
278 smurf 0.0000040486
279 neptune 0.0009432934
279 satan 0.0000040277
28 neptune 0.0000890663
28 normal 0.0007813010
28 portsweep 0.0000020192
28 satan 0.0000040277
28 smurf 0.0000080972
28 teardrop 0.0000183861
280 neptune 0.0013278981
280 normal 0.0000020241
280 portsweep 0.0000020192
280 satan 0.0000020138
280 smurf 0.0000020243
281 neptune 0.0007773062
282 neptune 0.0013987463
282 normal 0.0000040482
282 smurf 0.0000020243
283 neptune 0.0009372207
283 normal 0.0000040482
284 neptune 0.0013157527
284 normal 0.0000040482
285 neptune 0.0008481544
285 normal 0.0000020241
285 portsweep 0.0000020192
285 smurf 0.0000020243
286 neptune 0.0012104924
286 normal 0.0000020241
287 neptune 0.0008218393
287 normal 0.0000020241
287 smurf 0.0000020243
288 neptune 0.0011133292
288 smurf 0.0000020243
289 neptune 0.0007186034
289 satan 0.0000040277
289 smurf 0.0000020243
29 neptune 0.0000910906
29 normal 0.0006962890
29 satan 0.0000100692
29 smurf 0.0000040486
29 teardrop 0.0000183861
290 neptune 0.0011598866
290 normal 0.0000020241
290 portsweep 0.0000020192
290 satan 0.0000020138
290 smurf 0.0000020243
291 neptune 0.0008562513
291 normal 0.0000020241
292 neptune 0.0011639350
292 normal 0.0000020241
293 neptune 0.0008117182
293 normal 0.0000040482
293 smurf 0.0000020243
294 neptune 0.0012064440
294 normal 0.0000040482
294 smurf 0.0000040486
295 neptune 0.0006983610
295 normal 0.0000020241
295 portsweep 0.0000020192
295 smurf 0.0000020243
296 neptune 0.0011032080
296 normal 0.0000020241
297 neptune 0.0006922883
297 smurf 0.0000020243
298 neptune 0.0008602998
298 smurf 0.0000020243
299 neptune 0.0004514044
299 satan 0.0000040277
3 back 0.0009355424
3 buffer_overflow 0.0000133333
3 guess_passwd 0.0000018868
3 imap 0.0000000000
3 land 0.0000000000
3 loadmodule 0.0000000000
3 neptune 0.0001052602
3 nmap 0.0000043290
3 normal 0.0106690094
3 pod 0.0000075758
3 satan 0.0000080554
3 smurf 0.0000020243
3 teardrop 0.0000183861
3 warezclient 0.0000020588
3 warezmaster 0.0000000000
30 neptune 0.0000526301
30 normal 0.0005950842
30 satan 0.0000040277
30 teardrop 0.0000183861
300 neptune 0.0007975485
300 normal 0.0000020241
300 portsweep 0.0000020192
300 satan 0.0000020138
300 smurf 0.0000040486
301 neptune 0.0000202423
301 normal 0.0000040482
301 smurf 0.0000040486
302 neptune 0.0000080969
302 smurf 0.0000020243
303 normal 0.0000040482
304 normal 0.0000020241
305 normal 0.0000020241
305 portsweep 0.0000020192
305 smurf 0.0000020243
306 normal 0.0000040482
306 smurf 0.0000020243
307 smurf 0.0000020243
308 smurf 0.0000020243
309 satan 0.0000040277
309 smurf 0.0000020243
31 neptune 0.0000647755
31 normal 0.0005282890
31 satan 0.0000040277
31 teardrop 0.0000183861
310 normal 0.0000040482
310 portsweep 0.0000020192
310 satan 0.0000020138
311 normal 0.0000040482
312 normal 0.0000020241
312 smurf 0.0000020243
313 normal 0.0000020241
314 normal 0.0000020241
314 smurf 0.0000020243
315 normal 0.0000020241
315 portsweep 0.0000020192
316 normal 0.0000040482
316 smurf 0.0000020243
317 smurf 0.0000020243
319 satan 0.0000040277
32 neptune 0.0000708482
32 normal 0.0004837589
32 satan 0.0000060415
32 smurf 0.0000020243
32 teardrop 0.0000183861
320 normal 0.0000040482
320 portsweep 0.0000020192
320 satan 0.0000020138
320 smurf 0.0000020243
321 normal 0.0000020241
322 normal 0.0000020241
322 smurf 0.0000020243
323 smurf 0.0000060729
324 normal 0.0000020241
324 smurf 0.0000020243
325 portsweep 0.0000020192
326 normal 0.0000020241
327 smurf 0.0000040486
329 satan 0.0000040277
329 smurf 0.0000020243
33 neptune 0.0000870421
33 normal 0.0004716143
33 satan 0.0000040277
33 teardrop 0.0000183861
330 normal 0.0000020241
330 portsweep 0.0000020192
330 satan 0.0000020138
330 smurf 0.0000040486
333 smurf 0.0000020243
334 smurf 0.0000020243
335 portsweep 0.0000020192
335 smurf 0.0000020243
337 smurf 0.0000020243
339 satan 0.0000040277
339 smurf 0.0000040486
34 neptune 0.0000587028
34 normal 0.0004149397
34 satan 0.0000080554
34 teardrop 0.0000183861
340 normal 0.0000020241
340 satan 0.0000020138
343 smurf 0.0000040486
345 portsweep 0.0000020192
346 smurf 0.0000020243
347 smurf 0.0000020243
348 smurf 0.0000101214
349 satan 0.0000040277
349 smurf 0.0000020243
35 neptune 0.0000809694
35 normal 0.0003764818
35 portsweep 0.0000020192
35 satan 0.0000040277
35 smurf 0.0000040486
35 teardrop 0.0000183861
350 normal 0.0000020241
350 satan 0.0000020138
351 smurf 0.0000020243
352 smurf 0.0000040486
354 smurf 0.0000020243
355 portsweep 0.0000020192
355 smurf 0.0000020243
356 smurf 0.0000020243
357 smurf 0.0000060729
358 smurf 0.0000020243
359 satan 0.0000040277
359 smurf 0.0000020243
36 neptune 0.0000870421
36 normal 0.0003582650
36 satan 0.0000020138
36 smurf 0.0000040486
36 teardrop 0.0000183861
360 satan 0.0000020138
361 normal 0.0000020241
361 smurf 0.0000020243
362 smurf 0.0000020243
363 smurf 0.0000020243
365 portsweep 0.0000020192
365 smurf 0.0000040486
367 smurf 0.0000040486
369 satan 0.0000040277
37 neptune 0.0000526301
37 normal 0.0003137349
37 portsweep 0.0000020192
37 satan 0.0000020138
37 smurf 0.0000020243
37 teardrop 0.0000183861
370 satan 0.0000020138
370 smurf 0.0000020243
371 normal 0.0000020241
371 smurf 0.0000020243
373 smurf 0.0000040486
374 smurf 0.0000020243
375 portsweep 0.0000020192
376 smurf 0.0000040486
377 smurf 0.0000020243
379 satan 0.0000040277
379 smurf 0.0000040486
38 neptune 0.0000587028
38 normal 0.0002773011
38 portsweep 0.0000020192
38 satan 0.0000020138
38 smurf 0.0000020243
38 teardrop 0.0000183861
380 satan 0.0000020138
380 smurf 0.0000020243
381 normal 0.0000020241
383 smurf 0.0000040486
385 portsweep 0.0000020192
386 smurf 0.0000040486
387 smurf 0.0000020243
388 smurf 0.0000020243
389 satan 0.0000040277
39 neptune 0.0000829936
39 normal 0.0002671807
39 satan 0.0000080554
39 smurf 0.0000020243
39 teardrop 0.0000183861
390 satan 0.0000020138
391 normal 0.0000020241
392 smurf 0.0000020243
393 smurf 0.0000020243
394 smurf 0.0000020243
395 portsweep 0.0000020192
397 smurf 0.0000020243
398 smurf 0.0000020243
399 satan 0.0000040277
399 smurf 0.0000020243
4 back 0.0010989560
4 imap 0.0000000000
4 loadmodule 0.0000000000
4 neptune 0.0000748967
4 normal 0.0097176844
4 pod 0.0000075758
4 satan 0.0000100692
4 smurf 0.0000060729
4 teardrop 0.0000183861
40 neptune 0.0000404847
40 normal 0.0001700241
40 satan 0.0000020138
40 teardrop 0.0000183861
400 satan 0.0000020138
400 smurf 0.0000020243
401 normal 0.0000020241
402 smurf 0.0000020243
403 smurf 0.0000020243
404 smurf 0.0000040486
405 portsweep 0.0000020192
405 smurf 0.0000020243
406 smurf 0.0000040486
407 smurf 0.0000020243
